SET	Precision	Recall	F1-Score
danishtrain	68.17%	5.75%	10.60%
danishdev	70.46%	6.19%	11.37%
englishlegaltrain	68.54%	8.58%	15.25%
englishlegaldev	71.19%	8.94%	15.89%
englishscientifictrain	70.21%	8.03%	14.41%
englishscientificdev	69.70%	7.47%	13.50%
frenchtrain	67.06%	6.29%	11.51%
frenchdev	66.28%	5.28%	9.78%
persiantrain	93.36%	43.82%	59.64%
persiandev	95.03%	43.73%	59.90%
spanishtrain	63.14%	5.40%	9.96%
spanishdev	64.76%	5.79%	10.62%
vietnamesetrain	75.49%	39.90%	52.21%
vietnamesedev	82.09%	39.43%	53.27%
